term,average_offensiveness
mud shark,92
nacho,75
queen,78
raghead,99
race traitor,87
nichi,84
nig,99
nig nog,99
nigar,99
niger,99
Punjab,57
nidge,82
nigguh,99
mangia cake,71
niggress,100
pollo,98
muktuk,83
powderburn,85
porch monkey,94
moulinyan,89
pointy head,80
Oreo,86
Oriental,89
Northern monkey,84
nigette,99
pinto,78
octroon,81
pancake,80
pancake face,76
papoose,62
quadroon,81
Pepper,76
Pepsi,82
pikey,77
spook,99
neche,61
chug,82
chink,100
towel head,99
property,98
sperg,57
ricepicker,73
dingo fucker,85
ginger,35
albino,15
retard,72
buckethead,79
faggot,93
Fairy,90
ling ling,91
spice nigger,100
beaner,84
fag,98
japie,97
paki,90
wetback,99
gook,99
guala guala,74
guala,86
squarehead,78
fruit,50
Cushi,52
Kushi,86
Kushite,80
Cushite,79
uncircumcised baboon,95
Aunt Jane,25
Aunt Jemima,42
Aunt Mary,63
Aunt Sally,
mack,88
mick,51
mickey,53
Mickey Finn,50
ABCD,32
cocoa,79
Cocoa Puff,79
coconut,83
colored,86
coloured,96
Jerry,71
crow,77
Angie,22
Ann,46
apple,65
jock,74
Junior Mint,76
banana,83
egg,55
eggplant,57
fez,97
black Barbie,45
blockhead,57
frog,72
fuzzy,79
fuzzy wuzzy,69
book book,78
brownie,88
bubble,55
buck,50
bumblebee,69
can eater,94
celestial,42
monkey,98
Charlie,88
ho,86
hoe,78
chief,85
skinny,88
